,adresse,type_de_contrat,niveau_etude,localisation,type_de_cursus,salaire_moyen,salaire_min,salaire_max
0,Toulouse (31),,ingénieur,Toulouse,,36000.0,2600,46000
1,Toulouse (31),CDI,,Toulouse,,36000.0,2600,46000
2,Labège (31),CDI,ingénieur,Toulouse,,65500.0,4600,85000
3,Toulouse (31),CDI,ingénieur,Toulouse,autodidacte,36000.0,2600,46000
4,,,,,,36000.0,2600,46000
5,Toulouse (31),,ingénieur,Toulouse,,36000.0,2600,46000
6,Toulouse (31),,ingénieur,Toulouse,,36000.0,2600,46000
7,Toulouse (31),,ingénieur,Toulouse,,36000.0,2600,46000
8,,,,,,13000.0,0,26000
9,Paris (75),,,Paris,,65500.0,4600,85000
10,Colombes (92),"Temps plein, CDI",,Paris,,65500.0,4600,85000
11,Paris (75),,,Paris,,36000.0,2600,46000
12,Paris (75),,bac + 2,Paris,,36000.0,2600,46000
13,Paris (75),,bac + 5,Paris,,65500.0,4600,85000
14,Nozay (91),,ingénieur,Paris,,36000.0,2600,46000
15,Paris (75),CDI,,Paris,,65500.0,4600,85000
16,Levallois-Perret (92),"Temps plein, CDI",,Paris,,65500.0,4600,85000
17,Paris (75),CDI,,Paris,,65500.0,4600,85000
18,Paris (75),Stage,ingénieur,Paris,,13000.0,0,26000
19,,,,,,36000.0,2600,46000
20,,,,,,36000.0,2600,46000
21,Paris (75),,ingénieur,Paris,,65500.0,4600,85000
22,Clichy (92),,bac + 4,Paris,,65500.0,4600,85000
23,,,,,,36000.0,2600,46000
24,,,,,,36000.0,2600,46000
25,,,,,,36000.0,2600,46000
26,,,,,,36000.0,2600,46000
27,Nantes (44),CDI,,Nantes,,36000.0,2600,46000
28,Nantes (44),,bac + 2,Nantes,,36000.0,2600,46000
29,Nantes (44),CDI,,Nantes,,36000.0,2600,46000
30,Nantes (44),CDI,bac + 4,Nantes,,36000.0,2600,46000
31,Nantes (44),CDI,bac + 4,Nantes,,36000.0,2600,46000
32,44000 Nantes,"Temps plein, CDI",,Nantes,,36000.0,2600,46000
33,Nantes (44),CDI,bac + 4,Nantes,,36000.0,2600,46000
34,Nantes (44),Stage,ingénieur,Nantes,,13000.0,0,26000
35,Nantes (44),CDI,bac + 4,Nantes,,65500.0,4600,85000
36,Nantes (44),CDI,,Nantes,,36000.0,2600,46000
37,Nantes (44),CDI,ingénieur,Nantes,,36000.0,2600,46000
38,Nantes (44),CDI,,Nantes,,36000.0,2600,46000
39,Loire-Atlantique,,bac + 4,Nantes,,36000.0,2600,46000
40,Nantes (44),,bac + 5,Nantes,,36000.0,2600,46000
41,44000 Nantes,"Temps plein, CDI",bac + 5,Nantes,,36000.0,2600,46000
42,Nantes (44),CDI,bac + 4,Nantes,,36000.0,2600,46000
43,Nantes (44),CDI,,Nantes,,36000.0,2600,46000
44,,,,,,36000.0,2600,46000
45,Nantes (44),,bac + 5,Nantes,,36000.0,2600,46000
