URL,Titre,Nom entreprise,Adresse,Date de publication,description
https://www.indeed.fr/pagead/clk?mo=r&ad=-6NYlbfkN0BdiCki7slH8zOJUlzNTkvSdGq5XXDacoubTFlilpruQMpircP1oQQ5CFs4T2qu0AI_LQp7j1E-koadF_S6aKaubP2orTTt0lNwEg_T4qk6xbF4LDnDX7gfGNXc0okSEKVHYfpP8q1qMnrIVLDZ3uDdib30b8g3QdrdoBAiO_4ggKyxxOnwUsbTWocK38na_0bW-q_0-3g9v54jAJjsg_FlFXZlQkzNu16vVyNMDSkmBAkCTnoIS2jdUwMnxCZzQF1nFJpq0aaxTt5W0yFMFgOQ5ZMGDeDZ93hRfRwpwZhA1PMS9UpCkbWIhGx41UW-ZLR8_dG3wR2m4R4UYeojZZdcHsIHxdGXu-0pIefA6lT7CEPuo2AAVND-w2JY_ujTUfs4_V8J0Qff7O9zCHMF9H6VWfIsz1rVvnrX5nop-ZKge0G7kd4Z9_7N&p=0&fvj=1&vjs=3,Développeur JAVA/J2EE,Activ Browser Technology,Boulogne-Billancourt (92),2019-10-01 15:41:50.559427,"<p>Activ Browser, la créativité d’une Web Agency associée à l’expertise technique d’une agence de Recherche et Développement.</p><p>Cette double compétence nous permet de proposer et de maîtriser à la fois les aspects UI/UX d’une application web, ainsi que les choix technologiques les plus efficients et pérennes pour les projets de nos clients.</p><p>Fort des compétences acquises au travers des applications métiers que nous avons créées, l'éventail des technologies maîtrisées par nos collaborateurs est des plus avancés,</p><p>Aussi bien en JavaScript isomorphiques avec des technologies comme :</p><p>- Vue.js<br>- Angular<br>- Ionic<br>- Express js</p><p>Qu’en Java 7 ou 8 :</p><p>- Spring<br>- J2EE<br>- Maven<br>- Coldfusion<br>- Gradle</p><p>Ou bien en PHP avec :</p><p>- Symfony<br>- Zend<br>- Lumen</p><p>Nous sommes bien évidement présents dans le monde des CMS avec des compétences fortes en Drupal 7/8, Magento et Wordpress.</p><p>L’agence Activ Browser rassemble au sein de son studio de création tous les métiers de la communication, de la conception (identité visuelle, charte graphique) à la création des outils de communication online et offline.</p><p><b>Description du poste : </b></p><p>Développeur(se) Java/J2EE, passionné(e) par le développement Web, vous souhaitez développer vos compétences au sein d’une équipe jeune, dynamique et côtoyer des projets novateurs.</p><p>Activ Browser vous propose une expérience enrichissante aussi bien technique qu’humaine dans un environnement stimulant et en forte croissance.</p><p>Au sein d’une équipe technique, vous participez aux différentes phases de projet (Conception, Intégration, Développement, Test, Documentation et Maintenance)</p><p>Autonome, impliqué et doté d’un bon relationnel, vous avez le goût du challenge.</p><p><b>Profil recherché : </b></p><p>De formation Ecole d’Ingénieur ou Université (bac +2/5)</p><p>Vous justifiez d'une maîtrise sur les technologies Java/J2EE.</p><p>Maîtrise des langages de base de données SQL.</p><p>Connaissance des méthodes Agiles.</p><p>Connaissance des technologies Front-End sont un plus.</p><p><b>Lieu &amp; rémunération : </b></p><p>Siège : Boulogne-Billancourt.</p><p>Clients : Région Idf.</p><p>Type d'emploi : CDI</p><p>Salaire : 33 000,00€ à 50 000,00€ /an</p><p>Ce poste est ouvert aux personnes en situation de handicap.</p><p>Type d'emploi : CDI</p><p>Salaire : 35&nbsp;000,00€ à 50&nbsp;000,00€ /an</p><p>Expérience:</p><ul><li>développeur java/j2ee ou similaire: 3 ans (Requis)</li></ul>"
https://www.indeed.fr/pagead/clk?mo=r&ad=-6NYlbfkN0BPA0_wx9cDprZ7BJ5N77NUbc2ajC2I_x_zlGmtNnAwCfgmTUExHA28Yma9NzXrLsTN4stEHdEuocdTfP8hBmaakm9ZUCKPYcZAg0YExzTak9_N3-S77YYoZtvUW0y4EHqK1Kwq_IHMV2MKxNx2-t-vFGzsYTvzYwt6y5UIJJEAdl4smulknsMbk53xIFDBmKKoWawBCgxb3OqTnRUgEPYxwWpsBhGbYAd2kix18RagMVF9xcNKc2JPHTu-rcNMCwTivg5h5Qteg0-iNNja976hKLm_JYOwEtg42Q7k7Sc9Td_xwXeqqfQRrm5jYgyGxlJfSzZt9XRBrJh0RNxovDLGobKvEop9UvXNb8oy_RApP6L6KdTXVtIJxzihBGawwmxMrj4P-icqG_jtX3bx-nxoo5fP-mC3_hZCXM90af14FGLkhZ0nO34tbymzMVhw4-qTe6Sn7L0Ay9u1hi7kjox4-9L9WKyoUJ1ONj517p1zHc2TXeSoGyz2vO5NiOZCRlk=&p=1&fvj=1&vjs=3,Développeur Software 3D / Unity 3D / RM & RA / Hololens - Paris - H/F,Theoris,75010 Paris 10e,2019-09-02 15:42:08.057680,"<p>Vous êtes passionné de <b>Développement Software 3D temps réel</b> dans la <b>Réalité Mixte</b>, <b>Réalité Augmentée</b> ou <b>Réalité Virtuelle</b>. Vous voulez contribuer à des projets d'<b>innovation technologique</b> dans ces domaines, et travailler auprès d'experts techniques référents.</p><p><b>THEORIS</b> est une société d’ingénierie logicielle spécialisée dans les <b>technologies 3D interactives</b>, intervenant dans les domaines de la <b>Réalité Augmentée, Mixte et Virtuelle</b>, de la <b>Simulation</b> et des <b>Environnements immersifs</b>, du <b>Traitement d'images</b> et de la <b>Visualisation3D</b>, en tant qu'expert-conseil et intégrateur de solutions innovantes.</p><p>Pour participer au <b>développement</b> de Systèmes de <b>Réalité Mixte / Augmentée</b> sous <b>Hololens</b>, ou de <b>Systèmes immersifs</b> de <b>Simulation</b> pour des grands noms de l’industrie française, nous recherchons, en <b>CDI</b>, plusieurs Ingénieurs de Développement Software,</p><ul><li>possédant un background technique solide en développement <b>C/C++/C#</b> et plus spécifiquement en <b>informatique 3D temps réel</b> (familier des méthodes mathématiques et de l’algorithmie associée),</li><li>maitrisant les outils et les technologies utilisés dans ce type d’environnement:</li><li><b>librairies 3D</b>,</li><li><b>Unity 3D</b></li><li><b>capture de mouvement</b>, <b>tracking</b>, <b>moteurs de rendu</b>,</li><li>Développement <b>3D</b> pour casques de <b>RA</b> / <b>Hololens</b>, casques de <b>RV</b> / <b>HTC Vive</b>, <b>Simulateurs et Systèmes immersifs</b>,</li><li><b>traitement d’image</b>, <b>visualisation 3D</b>, <b>segmentation et reconstruction 3D</b>.</li></ul><p>Ces postes sont basés à Paris (75010)</p><p>Type d'emploi : Temps plein, CDI</p><p>Salaire : 36&nbsp;000,00€ à 50&nbsp;000,00€ /an</p><p>Expérience:</p><ul><li>Développement C++ / 3D: 1 an (Requis)</li></ul><p>Formation:</p><ul><li>Bac +5 (Master / MBA) (Requis)</li></ul><p>Certificats et autres accréditations:</p><ul><li>Autorisation de travail en France en cours de validité (Requis)</li></ul>"
https://www.indeed.fr/pagead/clk?mo=r&ad=-6NYlbfkN0DeOqWYbEzE8Y1-gd3xghf7uwHYhtkDZMVCClb1F3mjYO6t4_LSI1JtGwcPwBB6fsIqWeWtRqnRKIKE5dDX6mQuwQhK6e7ZqqeOfrjf_a3ntLQxEZTQWRN5r3WgJvuyTPYWn-CZf849FvB24z3uz1uZx39j7KqR82NM8h6VMr3JT6uv0wtSSk40AgqeboYsGVIs-KznDM-DfUzsoJnxlIiILwm8T_e4MWWUMhFz_4Z5dX6a7HZkWUAO-CuuQXbg7eaeWpSNDKrIPRS-HoExWAl-2mZhKpWRQHsGz47htfLc23flv7lOmPuLBKbZ0CPnEnRMdgC4rzoeN-4UUJEjLZxeHm3HDJby1JGy5kwMHt2u1zBVsvHZHzLmLIyQiOLoHZYlrQACF1LJlyPYEoAluABAoVgpq7qomJxwFevIjocM6vzPFVqQgvduiZVw5rHdvIiQVU725IF9sg==&p=2&fvj=1&vjs=3,Développeur Ionic / Firebase,NEXTT,92200 Neuilly-sur-Seine,2019-09-18 15:42:22.787673,"<p>Dans le cadre du développement d'une application, nous recherchons un développeur fullstack spécialisé dans le développement d'application mobile hybride Ionic avec compétences Firebase.</p><p>L'application est déjà avancée, l'objectif est un débogage avant lancement.</p><p>Le/ la candidate stagiaire pourra-être intégrée au staff du projet suivant ses compétences, son implication et sa capacité à gérer le projet.</p><p>Avantages :</p><ul><li>Titre-restaurant / Panier</li></ul><p>Type d'emploi : Temps plein, Temps partiel, Stage</p><p>Expérience:</p><ul><li>développeur ionic / firebase ou similaire: 1 an (Souhaité)</li></ul>"
https://www.indeed.fr/pagead/clk?mo=r&ad=-6NYlbfkN0Afb2xqmmvnLeU-eGdBKKKG4nWVW1VrA-McngqAoir6deY3vbRrCKR3mm24AFrxzAqh7I0b4RySssf7nCnyJKwdLxN7QMXQhkNsCK8XusozsvmW1eF3sglEZHhdIQHVv2RHiak76E1rzsanbeeCr-cV2U2BaWtyixd7gJi-hWakfhDrCgavi6qVV9d9OJOiNxM7GrNQ8WpjdJhDOVzm_KwRWd1_tFd31wddjZNt2HDhV_sMe7YtUryvLD90F80_nqll_2e0xnVrIUo6oVyl9Fk2AWoDFNqS5BKj6_QR21-a9DbQi__OvInJTfftRkvBZ29GMfeKpSj7lVoIWBboTHSFrGWNnlGICOpAlyvCK0Jlj9HXVsKjw46TDQYiVrJfUQIMg2bIbzAuMSCkJZEy96p9dGJhXlm6bxseqGhJHOSUFQkPhMNZ_hD2xtQIxUoNvqo=&p=3&fvj=1&vjs=3,Développeur Java H/F,Ratp Smart Systems,Paris (75),2019-09-09 15:42:39.629319,"<p><b>1er jet : </b></p><p>Pour accélérer sa transformation et participer à la transformation digitale de ses clients, RATP Smart Systems lance sa « Digital Factory <i>by</i> RATP Smart Systems » et renforce ses équipes par de nouveaux talents :</p><ul><li>Vous souhaitez rejoindre une équipe constituée d’experts dans leur domaine ?</li><li>Vous souhaitez rejoindre et agir dans une équipe autonome ?</li><li>Vous souhaitez rejoindre une équipe travaillant sur les technologies les plus récentes ?</li><li>Vous souhaitez rejoindre une équipe responsable de bout en bout de sujets innovants et à forte valeur métier et business ?</li></ul><p>Plus qu’un diplôme, nous cherchons des talents de <b>« Développeur Java 100% Agile ».</b></p><ul><li>Vous avez déjà rencontré des PO, PPO, SM, LT, UX Designer (et surtout vous avez aimé travailler avec eux) ;</li><li>Vous savez écrire craftmanship (et surtout c’est important pour vous) ;</li><li>Pour vous, Java n’évoque pas qu’une île (et surtout c’est votre domaine d’expertise) ;</li><li>Et bien sûr, vous êtes passionné (mais pragmatique), ambitieux (mais raisonnable), sympathique (mais rigoureux), positif (mais réaliste) et autonome (mais pas trop).</li></ul><p>Si vous vous reconnaissez, ne cherchez pas plus loin : nous avons la mission qu’il vous faut ! Vous travaillerez au sein de squads au développement de nos solutions digitales et aurez la responsabilité d’en assurer le bon fonctionnement une fois aux mains de leurs utilisateurs.</p><p>Résumons-nous :</p><ul><li>Lieu : Paris Centre</li><li>Démarrage : Dès que possible</li><li>Durée : CDI / Temps plein</li><li>Poste : Développeurs « Agile »</li><li>Technologies : Expertise sur Java (3 ans minimum) / PWA (si possible). Tout autre technologie est un plus</li></ul><p>Type d'emploi : Temps plein, CDI</p><p>Salaire : 40&nbsp;000,00€ à 50&nbsp;000,00€ /mois</p><p>Expérience:</p><ul><li>développeur java h/f ou similaire: 3 ans (Souhaité)</li></ul>"
https://www.indeed.fr/pagead/clk?mo=r&ad=-6NYlbfkN0CfNWPNVmY518qXJCXgKr8LztMrbmrQnLSX_v0Y3KfTQ5xhKbmVPyAaNxi-3c17ViZjgi-KdYN4jn76omgN5qk7p13hOj9z8JCGfWhNI61R_2kS_X9mxNVItY3zkmOuHIA_AJ5-yzVBYHG4Mm9Sk7iAJ80znKUec9WtWRVUKkB7qa2k-J3eHDa2KOkrvR5AhR1BEfwJEfAAhmQEVZt-uQLPxFK1bysbxZb6Re_y2tKfUDOHRshxz1P6faLj5pZfzY-eAFK-RFBcazWiLfY1dyA10JgUwQwQeFLkggKzyCmiyOfa3FlaHn0d9LTqrhf2yWlO8nf_NYenPsh-danZ_5rCw3tF4zAHB8BGbAyjptoRlneensyAjf37TqJE3n1H9DRpUh-zVfULRjdWdHPg8FcdURodcTKse2Rw9_-EFrO0ULYTM4hTx5MzrJHgRKFYlO1X5hWbMKZt-8yOjYNojxjCGAfF6L53M-P8-Cb4La1ffg==&p=4&fvj=0&vjs=3,Développeur Android (H/F),Universign,Paris (75),2019-09-02 15:42:50.657003,"<div><div><b>Universign</b> est le pure player de référence sur le marché de la confiance numérique. Pour convaincre et fidéliser nos clients sur un sujet aussi sensible que celui de la transaction en ligne, nous visons l’excellence et innovons au quotidien.</div><div>
Mais chez Universign, on sait aussi être exigeant et détendu. Eh oui, chez nous travailler doit rester un plaisir. Alors on innove aussi pour nous, pour créer un environnement de travail aussi stimulant qu’épanouissant pour tous. Que vous soyez un gros gamer ou branché permaculture, vous vous sentirez chez vous.</div><div>
Alors, on n’est pas bien, là ? Et vous savez qu’on n’arrête pas de grandir et qu’on recrute ?<br>
<br>
</div><div>Eh oui, Universign renforce son équipe Engineering et recrute un: <b>Développeur Android (H/F)</b></div></div>
<br>
<div><div><b>Votre to-do est toute prête :</b></div><div><b>
</b></div><div><b>
Etude </b>de faisabilité technique et<b> rédaction</b> des spécifications techniques</div><div><b>
Etudes de risques et impacts techniques</b></div><div><b>
Analyse et développement </b>des composants</div><div><b>
Test, identification et traitement </b>des dysfonctionnements éventuels</div><div>
</div><div><b>
La touche Universign :</b></div><div>
Nous avons préparé une période de formation et d'intégration avec des rendez-vous internes, un survival kit, des ateliers méthodologies et outils, et même un parrain.<br>
Nous proposons également des tickets restaurant, un co financement d'activité sportive, des horaires flexibles, la possibilité de travailler en remote, un petit déjeuner hebdo avec la team, Nespresso à volonté, des blinds déjeuner avec les collègues et des fruits frais chaque semaine.</div><br>
<div><b>
En plus d’être branché.e high tech, doué en algorithme et , ce qui nous plairait chez vous, c’est qu’on parle la même ${lang}</b>: Java, Android, Gradle, Jenkins/Sonar.</div><div>
Une expérience de 3 à 4 ans serait un plus pour venir relever nos défis techniques.</div></div><div></div>"
https://www.indeed.fr/pagead/clk?mo=r&ad=-6NYlbfkN0AtFAOVYquSy8vMzyjBWOxkfrpHwQATlMMyGSJSwptcoQMqDckLNDnfGHOMNvktQmnVB8-I_0gwiMZagjkkwJLvLfsrdzAsfJKKQJAyNRumXLgnRFyXw1hNLoDMWJVoG314jhcdLCElgY6wM500JFOIOGYW5qey00HPFHbOiKlrFsFFMe-6MTlYfHxGvphNq42zSN7WkL5BWDAigfWIYfoGraGjgixuwc-VmjJ8IFBMaTJDRcefA-bfrv9uPRsuPcWHNPcqY58amUD6h2CkjTC1lj-B_Zno07XtLz_LPBLVia2A-WxDKy-LSS9GKE2iYleLEyYIuX8r6Q9FoHBo3AyGNpA_6KceK9ZL9RTkJtAyI0uCLE22Wbqwpr2yrbWKoJ_SPtceUl8ayaUkS9QBr85fLxnTpzxCabXJfISx075nDVh861kGw84aN6mWguBCaIM=&p=5&fvj=1&vjs=3,Développeur Informatique H/F,VALENTE SECURYSTAR,94320 Thiais,2019-10-01 16:43:07.533091,"<p>VALENTE SECURYSTAR, fabricant de portes blindées, menuiseries métalliques, serrures, cylindres...</p><p>Vous souhaitez évoluer dans un secteur en forte croissance dans une entreprise très dynamique.</p><p>Description de la mission</p><p>Vous participerez au développement des solutions logiciel.</p><p>Profil</p><p>De formation spécialisée minimum bac +2 en informatique, vous avez une première expérience réussie en milieu professionnel. Vous avez de bonnes capacités à travailler en autonomie comme en équipe.</p><p>Une expérience sur les langages et outils suivants est recherchée :</p><p>Visual Basic<br>Javascript et environnement React, HTML et CSS<br>Un langage orienté objet<br>Une expérience sur les bases de données :</p><p>Access<br>SQL (Server)<br>Type d'emploi : CDI</p><p>Rémunération :<br>Salaire : 1850,00€</p><p>1 850€ + 10 Heures supplémentaire à 25% pendant la période d’essai (2 mois) soit un total de 2002 euro / mois.</p><p>Type d'emploi : CDI</p><p>Salaire : 1&nbsp;850,00€ /mois</p><p>Expérience:</p><ul><li>développeur informatique h/f ou similaire: 1 an (Souhaité)</li></ul>"
https://www.indeed.fr/rc/clk?jk=846f7f5da2e3fae6&fccid=1807e5727f702882&vjs=3,DÉVELOPPEUR(-EUSE) PRODUIT PAP (F/H) - CDD,Louis Vuitton,Paris (75),2019-09-19 15:43:18.703088,"<div><div><h2 class=""jobSectionHeader""><b>Poste</b></h2>
<p>Le/la <b><i>développeur(-se) Produit</i></b><b><i> </i></b>est responsable des développements de collection et développements industriels produits du PAP dès le croquis jusqu’à à la livraison des pièces de collection.</p>
<p>
Rattaché(e) au pôle développement, il (elle) pilote les projets des nouvelle recherche avec les fournisseurs interne et externe pour garantir la définition du besoin, la livraison des besoins de collection, l’industrialisation dans le respect des objectifs de style, qualité, coûts et délais.</p>
<p>
Il (elle) a pour rôle d’améliorer l’efficacité collective des processus de collection et d’industrialisation et d’accompagner les développements dans l’innovation et procédés, ainsi que de coordonner en interne les besoins et définitions.</p>
<p><b>
RESPONSABILITES</b></p>
<ul>
<li>Dès la phase de création, en collaboration avec le bureau de style et en collaborations avec développeurs matières, comprendre les besoins et accompagner techniquement en exposants les contraintes industrielles et en proposant des solutions adaptées en développant soit en interne, soit en externe.</li>
<li>Challenger les besoins, proposer des solutions existantes ou innovantes, sécuriser la faisabilité et la qualité.</li>
<li>Etre force de proposition pour optimiser les produits dès la conception (qualité, coûts, délais, efficacité Industrielle)</li>
<li>Renseigner le système informatique des besoins de collection et de production (contraintes techniques, lead time, PRI, négociations, nomenclatures, compositions produits)</li>
<li>Collaboration avec le bureau Technique pour lancement et finalisation des produits</li>
<li>Participation active aux essayages avec le style</li>
<li>Passation des éléments en qualité pour le respect du cahier des charges LV</li>
<li>Fournir un suivi détaillé et illustré de chaque développement.</li>
</ul><p>En savoir plus Fermer
</p></div><div><h2 class=""jobSectionHeader""><b>Profil</b></h2>
<p><b>PROFIL</b></p>
<p>
Doué(e) d’un bon sens relationnel, la gestion de projet vous anime, vous êtes ouvert(e) et passionné(e)par le développement produits, par l’innovation et la création.</p>
<p>
Vous aimez travailler avec les fournisseurs, le studio et les développeurs matières ainsi qu’avec le pôle production.</p>
<p>
Vous avez connaissance du marché et des fournisseurs existants dans votre domaine.</p><br>
<p></p>
<p><b>
FORMATION / EXPERIENCE</b></p>
<p>
Vous bénéficiez d’une solide expertise dans le domaine du développement PAP depuis au moins 3 ans.</p>
<p><b>
QUALITES</b></p>
<ul>
<li>Vous avez le gout du travail en équipe, du management projet</li>
<li>Vous aimez la recherche et l’industrialisation</li>
<li>Vous développez des relations de confiance en interne et externe, le tout en exigeant l’atteinte des objectifs (respect du style, de la qualité, des délais, de l’efficacité des process de collection / production)</li>
<li>Vous avez des facilités de communication et une capacité d’écoute, avec des interlocuteurs style, industrielles, interne</li>
<li>Vous êtes réactif(-ve), rigoureux(-se), impliqué(e) et force de proposition.</li>
</ul><p><b>LANGUES</b></p>
<p>
Français, anglais, Italien en Plus.</p><br>
<p></p>
<p>
En savoir plus Fermer
</p></div><div>Référence : LVM09368</div></div>"
https://www.indeed.fr/rc/clk?jk=b5268c024d654724&fccid=9ff6bf8aacf150d4&vjs=3,Assistant développeur Front (H/F),OUI.sncf,Paris (75),2019-09-27 15:43:31.457057,"<div><p>SIDH (Service d’Itinéraires et de Données Horaires) est le moteur d’itinéraire de la SNCF. Ce backend est un applicatif stratégique qui traite plus d'un milliard de requêtes par mois, provenant de plus d'une centaine de clients tel que les agences de voyages dont Oui.sncf, Eurostar, les BLS (bornes libre-service) pour la partie distribution et les médias IV (l'app SNCF) pour la partie Informations Voyageurs.
</p><div>Le métier principal de SIDH est le chargement de plan de transports afin de les rendre disponible à la recherche. Pour ce faire, nous avons besoin d’une multitude d’environnements (de l’assemblage à la production). Pour chacun de ces environnements, une configuration est faite afin de définir les plages de chargement (Hesperides). Celles-ci sont définies de manière à ce qu’il n’y ait pas de chevauchement. Le projet grandissant nous avons de plus en plus de données différentes à charger. Il devient dont fastidieux de trouver un bon créneau en regardant uniquement les différentes configurations.
<br>
Pour répondre à cette problématique, nous avons besoin de mettre en place :
<br>
<ul><li>Un outil cartographiant les différentes plages de chargement sur tous les environnement (en consommant l’API web de Hesperide)
</li><li>Un outil permettant de visualiser, en temps réel, le déclanchement des chargements sur les environnements (ces données sont déjà présentes dans une base de données)
</li></ul>Cela a pour objectif de mieux monitoring nos environnements mais aussi de mieux agencer nos plages de chargement.</div></div>
<br><div><ul><li>Prise en mains de l’API web d’Hesperide
</li><li>Développement de l’interface web permettant de cartographier les plages de chargement
</li><li>Ajout à cette interface la visualisation temps réel des chargements</li></ul></div><p></p>
<br><div><p>De formation BAC+5 en école d'ingénieur, vous disposez idéalement d'une expérience dans le domaine (stage/alternance),
<br>
Attentes techniques :
</p><ul><li>Bonnes bases en Javascript ou Java
</li><li>Bonnes bases sur le développement d’application Web
</li><li>Connaissance d’un framework front serait apprécié (AngularJS, React ou VueJS)</li></ul></div><p></p>"
https://www.indeed.fr/company/CREATIVE-INGENIERIE/jobs/D%C3%A9veloppeur-PHP-a9ad542cdf32fb9b?fccid=ff2a72ef3947eade&vjs=3,Développeur PHP H/F,CREATIVE INGENIERIE,Paris 6e (75),2019-09-24 15:43:42.364257,"<p><b>LES MISSIONS QUI TE SERONT CONFIEES : </b></p><p>Dans le cadre de d’un projet client, tu interviendras directement au sein de ses équipes en tant qu’Ingénieur développement backend.</p><p>Rattaché(e) au chef de projet, ton rôle est de participer au développement de la solution.</p><p>Vous participerez au sein d'une équipe à :</p><ul><li>Intégrer une équipe dynamique, qui aime les défis et qui pratique l'agilité au quotidien.</li><li>Travailler avec des passionnés de front-end / back-end .</li><li>Contribuer aux développements de la plateforme</li><li>Développer en mode micro-services</li><li>Participer aux orientations techniques et aux recherches d'optimisation</li></ul><p><b>PARLONS DE TOI : </b></p><p>Chez CREATIVE, on aime la diversité, y compris dans les caractères et personnalités ! Pour ce poste, tu as toutes tes chances si tu es consciencieux, méthodique et incollable sur le développement backend.</p><p>De formation Bac+5, écoles d'ingénieurs ou universitaire, tu justifies d'une expérience significative <b>d’au moins 5 ans dans le domaine du développement d’application web back-end</b>.</p><p>Tu maitrises <b>le langage PHP </b>ainsi que le <b>Framework Symfony .</b></p><p><b>La connaissance du javascript est un plus.</b></p><p><b>POURQUOI NOUS CHOISIR</b></p><p>Notre agence parisienne fait peau neuve et vient de s’installer dans 6ème arrondissement de Paris sous les toits du boulevard Saint Germain des Prés. Nous avons misé sur un aménagement confortable et propice à la bonne ambiance !</p><p>Ce qui nous caractérise :</p><p>- la proximité, l’écoute, et l’ouverture d’esprit, dans une ambiance fun et détendue ! Chez nous, on aime les moments de partage et de détente autour d’activités sportives ou ludiques, et de soirées entre collègues.</p><p>- notre implication dans de nombreux évènements numériques locaux, dont tu pourras être l’ambassadeur CREATIVE.</p><p>- notre expertise technique est notre ADN ! Tu auras l’opportunité de travailler au sein de notre filiale entièrement dédiée à la recherche et au développement : CREATIVE Innovation.</p><p>… Et pour plein d’autres raisons dont nous parlerons de vive voix !</p><p>*Poste en CDI<br>Lieu du poste : Région Parisienne<br>Salaire selon profil et expériences*</p><p>Type d'emploi : CDI</p><p>Salaire : 40&nbsp;000,00€ à 55&nbsp;000,00€ /an</p><p>Expérience:</p><ul><li>développement PHP: 5 ans (Souhaité)</li></ul><p>Langue:</p><ul><li>Anglais (Souhaité)</li></ul>"
https://www.indeed.fr/rc/clk?jk=a88bee6c673082af&fccid=08cedfdd897011ae&vjs=3,Développeur iOS (H/F),Meetic Group,Paris (75),2019-10-02 05:43:55.761557,"<div>Job Description<br>
<br>
<p>Derrière la plateforme Meetic, c’est le travail d’équipe, la passion et la créativité de nos centaines de salariés en Europe qui nous permet de proposer aujourd’hui le plus large choix de services de rencontre du marché.</p><p>
Notre mission est de concevoir l'Appli de rencontres de demain afin de satisfaire nos <b>millions d'utilisateurs par mois.</b></p><p>
Rejoignez <b>la communauté iOS</b> pour concevoir l'Appli de rencontres de demain !</p><p><b>
Notre environnement tech : </b>Xcode, Swift, GIT, Fastlane, CocoaPods, Jenkins…</p><p><b>
Notre organisation et nos méthodologies :</b> Feature teams, Scrum, Intégration continue, Test Driven Development...</p><p></p><br>
<p><b>
Venez faire un bout de chemin avec nous :</b></p><p>
Epanouissez-vous dans un environnement de travail collaboratif, stimulant et dynamique.</p><p>
Evoluez en <b>Feature Teams</b> regroupant toutes les compétences nécessaires pour créer un produit de qualité et différenciant : devs, produit, design, scrum, qualité.</p><p>
Contribuez à notre <b>culture Tech</b> où les principes du Crafts, l’autonomie, le partage et l’implication sont de mise.</p><p>
Progressez chaque jour dans une architecture modulaire en constante évolution.</p><p>
Participez à l’amélioration des pratiques de développement, challengez les process en place pour augmenter sans cesse la qualité de l’expérience des célibataires.</p><p>
Enrichissez vos connaissances au travers d’e-learning, de conférences, de Meetup et BBL.</p><p>
Exprimez votre créativité en participant à nos hackathons et rejoignez une équipe sympa, dynamique, constamment dans la recherche du progrès et de l'excellence technique.</p><p></p><br>
<p><b>
Au quotidien :</b></p><p>
Vous produisez un code de qualité, testé et maintenable par l’ensemble de l’équipe. On vous donne les moyens et le temps de délivrer un produit qui saura combler les célibataires.</p><p>
Vous êtes autonome et responsable de vos développements de A à Z : implémentation, tests, amélioration continue de l’architecture applicative jusqu'à la mise en prod.</p><p>
Dans les workshops, vous êtes partie prenante pour inventer, avec le Produit et le Design, de nouvelles fonctionnalités.</p><p>
Vous avez des idées et vous les mettez en œuvre pour que l’expérience utilisateur soit agréable et fun.</p></div>
<br>
<div>Qualifications<br>
<br>
<p><b>Votre profil</b></p><p>
Le développement iOS vous passionne et rien ne vous ferait manquer la WWDC.</p><p>
Encore mieux, vous avez déjà une application sur le Store à votre actif.</p><p>
Vous êtes passionné par le développement, ne jurez que par le code de qualité et raisonnez toujours ""user first"".</p><p>
Vous avez les compétences? Nous saurons les faire grandir ensemble!</p><p>
Vous êtes curieux, créatif et ouvert et convaincu par les principes de l'Agilté.</p><p>
Vous ne concevez pas votre métier sans partage avec vos collègues.</p><p>
Si en plus un environnement international vous stimule, alors nous sommes fait pour nous entendre.</p><p></p><br>
<p><b>
Et enfin</b></p><p>
Vous ne mettrez jamais longtemps pour venir travailler chez Meetic : nous sommes en plein cœur de Paris (gare St Lazare, RER A Auber à nos pieds, Métro M3-7-8-9).</p><p>
Si vous recherchez une histoire sérieuse, à temps complet pour une durée indéterminée, alors nous sommes faits pour faire du chemin ensemble.</p><p>
Faites le premier pas… envoyez-nous votre candidature.</p><br>
Additional Information<br>
<br>
null</div>"
